"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","778","2167","Nota/aviso","Nota llegar tarde",23,"Hombre","Colombia","Francés","Secundaria",16,5,"No","LLego mas tarde a la casa porque en mi ordenados veo un grand viaje para","ir","VMNP","ir",NA,NA,"a cuba !"
"A1IR.xlsx","722","2002","Correo electrónico","Cambio trabajo",29,"Mujer","Francia","Francés","Universidad",1,20,"No","Me gusta mucho ver espectaculos de téatro ,","ir","VMNP","ir",NA,NA,"a los museos , escuchar música ."
"A1IR.xlsx","796","2220","Correo electrónico","Cambio trabajo",67,"Hombre","Francia","Francés","Universidad",66,18,"Amigos&Familiares","A me , me gusta mucho de leer , me gustan mucho tambien de","ir","VMNP","ir",NA,NA,"a el theatro y de hace deportes . toca tambien un poco flauto ."
"A1IR.xlsx","372","1029","Correo electrónico","Cambio trabajo",19,"Mujer","Líbano","Francés","Universidad",18,4,"Amigos","Quiero","ir","VMNP","ir",NA,NA,"a el cine , a la playa y salir la noche ."
"A1IR.xlsx","2096","5905","Correo electrónico","Cambio trabajo",52,"Mujer","Francia","Francés","Universidad",52,4,"No","Me gusta mucho leer libros historicos y novelas policias ,","ir","VMNP","ir",NA,NA,"a el theatro y ver pelaculas de diferentes categorias : Me encuenta mucho hacer la cocina . me gustan las"
"A1IR.xlsx","775","2157","Correo electrónico","Cambio trabajo",27,"Mujer","Francia","Francés","Otros",20,6,"Amigos","Me gusta ir a el cine e","ir","VMNP","ir",NA,NA,"de copas con mi amigos ."
"A1IR.xlsx","390","1081","Correo electrónico","Cambio trabajo",42,"Mujer","Francia","Francés","Secundaria",1,0,"No","Me gusta","ir","VMNP","ir",NA,NA,"a el ciné y a el teatro ."
"A1IR.xlsx","2002","5639","Correo electrónico","Cambio trabajo",64,"Hombre","Francia","Francés","Otros",63,8,"No","de musculación o montar en bicicleta , salir con amigos para tomar unas cervezas , ir a el cine ,","ir","VMNP","ir",NA,NA,"a el campo , ver la telévision , conectar se a el messenger ."
"A1IR.xlsx","483","1342","Correo electrónico","Cambio trabajo",35,"Mujer","Marruecos","Francés","Universidad",34,8,"No","Me gusta viajar ,","ir","VMNP","ir",NA,NA,"a la playa , cenar in restaurante con mi marido , escuchar la música hip_hop , leer los novelas ,"
"A1IR.xlsx","636","1767","Nota/aviso","Nota llegar tarde",60,"Mujer","Francia","Francés","Secundaria",58,11,"Amigos","Lo siento pero no debes esperar me por la tarde pero quedo con mi amiga para","ir","VMNP","ir",NA,NA,"a el cine para ver una bonita pelicula sobre una historia veridad ."
