Estudiante,Tarea,Tipología textual,Tema,Edad,Sexo,País,L1,Estudios,Edad de inicio en el estudio del español,Número de meses estudiando español,Contactos personales en países de habla española,Contexto a la izquierda,Elemento gramatical 1,Etiqueta 1,Lema 1,Palabra ortográfica 1,Información adicional 1,Contexto a la derecha
2129,5993,Nota/aviso,Nota llegar tarde,23,Mujer,Costa de Marfil,Francés,Secundaria,23,2,Amigos,Os dejo esa nota para decir que ,voy,VIIP1S,ir,,,a llegar tarde . 
2042,5751,Correo electrónico,Cambio trabajo,71,Hombre,Francia,Francés,Otros,13,10,No,"A_menudo , con amigos y amigas , ",voy,VMIP1S,ir,,,de tapas y copas en algunos retaurantes famosos de el casco viejo de Lyon . 
1239,3495,Correo electrónico,Familia,58,Hombre,Francia,Francés,Universidad,58,3,No,yo ,voy,VIIP1S,ir,,,a ir te buscar en la estacion a las seis_y_media . 
779,2169,Correo electrónico,Cambio trabajo,52,Mujer,Francia,Francés,Otros,1,8,No,"de semana , me gusta hacer deporte , a_menudo juego a el golf , o ando por la montaña , ",voy,VIIP1S,ir,,,"a esquiar , o montar a cabalo en el campo . "
1972,5556,Correo electrónico,Cambio trabajo,63,Hombre,Francia,Francés,Primaria,63,4,No,Me llamo Philippe_de_Gouttes y ,voy,VIIP1S,ir,,,a trabajar con vosotros . 
638,1773,Nota/aviso,Nota llegar tarde,62,Hombre,Francia,Francés,Universidad,60,11,Amigos,Tengo mucho trabajo este tarde y ,voy,VIIP1S,ir,,,a llegar a casa cerca 22_oras . 
797,2223,Correo electrónico,Cambio trabajo,55,Mujer,Francia,Francés,Universidad,1,3,No,Me gusta muchissimo la España y ,voy,VMIP1S,ir,,,"en este pais quatro o cinco veces per año en Madrid o Barcelona y por los vacaciones en venero , "
480,1334,Nota/aviso,Nota llegar tarde,43,Mujer,Bélgica,Francés,Universidad,1,3,No,Te escribo este sms para informar te que ,voy,VIIP1S,ir,,,a ir a el cinema con mis amigas . 
797,2223,Correo electrónico,Cambio trabajo,55,Mujer,Francia,Francés,Universidad,1,3,No,Leo a_menudo pero no ,voy,VMIP1S,ir,,,a el cine . 
2096,5906,Nota/aviso,Nota llegar tarde,52,Mujer,Francia,Francés,Universidad,52,4,No,"Si no pueden , ",voy,VIIP1S,ir,,,a dormir en el hotel 
781,2175,Correo electrónico,Cambio trabajo,36,Mujer,Francia,Francés,Otros,14,36,No,No ,voy,VMIP1S,ir,,,nunca a el estadio_Gerland porque no me gusta nada a el futbol . 
797,2224,Nota/aviso,Nota llegar tarde,55,Mujer,Francia,Francés,Universidad,1,3,No,"Hoy , ",voy,VIIP1S,ir,,,a llegar un_poquito mas tarde por que vamos de copas con mi compañeros de el curso de español . 
840,2344,Correo electrónico,Familia,61,Mujer,Francia,Francés,Universidad,60,4,No,No sé si un dia ,voy,VIIP1S,ir,,,"a utilisar este idioma , pero si Romain va a el America_del_Sur una proxima vez o si encuentra una novia "
2096,5906,Nota/aviso,Nota llegar tarde,52,Mujer,Francia,Francés,Universidad,52,4,No,Me perdone pero ,voy,VIIP1S,ir,,,a llegar tarde porque mi coche no quiere funcionar y estoy en un cafe para avertir les 
1974,5564,Correo electrónico,Familia,45,Hombre,Francia,Francés,Secundaria,45,0,No,"En primero , ",voy,VIIP1S,ir,,,"a ver mi madre , se llama Danielle y tiene setenta_y_cinco años y es jubilada . "
1988,5604,Nota/aviso,Nota llegar tarde,24,Hombre,Bélgica,Francés,Universidad,1,0,No,Yo no ,voy,VIIP1S,ir,,,a llegar por la cena hoy no espera porque salgo con amigos en un bar 
1270,3586,Correo electrónico,Cambio trabajo,33,Mujer,Francia,Francés,Universidad,33,2,Familiares,"El mes que viene , ",voy,VIIP1S,ir,,,a trabajar con vosotros en su empresa . 
722,2002,Correo electrónico,Cambio trabajo,29,Mujer,Francia,Francés,Universidad,1,20,No,"Estoy escribiando este correo para presentar me porque el próximo vez , ",voy,VIIP1S,ir,,,a cambiar de lugar de trabajo . 
